Business Name,Phone,Website,Street,City,State,Rating,Reviews,Emails,Founder Name,LinkedIn Company,LinkedIn Personal,Instagram,Facebook,ABN,Entity Type,Category,Lead Score,Source Search,Research Summary
Captain Obvious West Perth Property Shenanigans #20,+61 797 472 366,https://totally-fake-buyers-20.example,42 Demo Drive,West Perth,Western Australia,4.9,125.0,casey.contrived@fake-buyers.example,Casey Contrived,,,,https://www.facebook.com/fake.buyers.20,89 713 137 889,Individual/Sole Trader,Owner-occupier,100,buyers agent first home Perth,
Pretend Perth Buyers Agency #21,+61 853 608 333,https://totally-fake-buyers-21.example,7 Hogwash Highway,Perth,Western Australia,4.9,71.0,taylor.testdata@fake-buyers.example,Taylor Testdata,,,,,97 758 486 525,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Suspiciously Legit West Perth Mortgage Mayhem #22,+61 796 616 883,https://totally-fake-buyers-22.example,404 Not Found Road,West Perth,Western Australia,4.9,104.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,https://www.linkedin.com/in/jordan-jokester,https://www.instagram.com/fake_buyers_22,https://www.facebook.com/fake.buyers.22,52 965 700 396,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Banana Republic Perth Off-Market Emporium #23,+61 429 680 987,https://totally-fake-buyers-23.example,123 Fake Street,Perth,Western Australia,4.8,108.0,pat.faux@fake-buyers.example,Pat Faux,,,,,85 161 108 540,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Definitely Not Real Subiaco Off-Market Emporium #24,+61 808 593 418,https://totally-fake-buyers-24.example,123 Fake Street,Subiaco,Western Australia,5.0,161.0,jordan.jokester@fake-buyers.example,Jordan Jokester,https://www.linkedin.com/company/definitely-not-real-subiaco-off-market-emporium-24,,https://www.instagram.com/fake_buyers_24,https://www.facebook.com/fake.buyers.24,59 748 520 433,Discretionary Trading Trust,EXCLUDED,100,buyers agent first home Perth,
Imaginary Subiaco Dream Home Depot #25,+61 623 590 178,https://totally-fake-buyers-25.example,404 Not Found Road,Subiaco,Western Australia,4.8,404.0,taylor.testdata@fake-buyers.example,Taylor Testdata,,,https://www.instagram.com/fake_buyers_25,https://www.facebook.com/fake.buyers.25,68 895 466 551,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Quantum South Perth Buyers Agency #26,+61 470 283 394,https://totally-fake-buyers-26.example,404 Not Found Road,South Perth,Western Australia,4.8,190.0,quinn.quip@fake-buyers.example,Quinn Quip,,,,https://www.facebook.com/fake.buyers.26,84 189 384 357,Australian Private Company,Owner-occupier,100,buyers agent first home Perth,
Quantum Paddington Off-Market Emporium #27,+61 475 502 748,https://totally-fake-buyers-27.example,7 Hogwash Highway,Paddington,New South Wales,4.9,64.0,pat.faux@fake-buyers.example,Pat Faux,,,,https://www.facebook.com/fake.buyers.27,12 521 771 781,Australian Private Company,Owner-occupier,100,buyers agent first home Sydney,
Imaginary Dream Home Depot #28,+61 571 743 195,https://totally-fake-buyers-28.example,,,,5.0,60.0,alex.alias@fake-buyers.example,Alex Alias,,https://www.linkedin.com/in/alex-alias,https://www.instagram.com/fake_buyers_28,https://www.facebook.com/fake.buyers.28,16 670 156 463,Australian Private Company,Owner-occupier,100,buyers agent first home Sydney,
Imaginary Castle Hill Buyers Agency #29,+61 474 267 560,https://totally-fake-buyers-29.example,404 Not Found Road,Castle Hill,New South Wales,4.8,382.0,pat.faux@fake-buyers.example,Pat Faux,https://www.linkedin.com/company/imaginary-castle-hill-buyers-agency-29,,https://www.instagram.com/fake_buyers_29,https://www.facebook.com/fake.buyers.29,50 352 755 259,Australian Private Company,Owner-occupier,100,buyers agent first home Sydney,
Pretend Hornsby Property Shenanigans #30,+61 722 205 407,https://totally-fake-buyers-30.example,404 Not Found Road,Hornsby,New South Wales,4.9,68.0,alex.alias@fake-buyers.example,Alex Alias,,,https://www.instagram.com/fake_buyers_30,https://www.facebook.com/fake.buyers.30,73 694 532 505,Australian Private Company,Owner-occupier,100,buyers agent first home Sydney,
Definitely Not Real Hornsby Dream Home Depot #31,+61 512 967 141,https://totally-fake-buyers-31.example,99 Sample Square,Hornsby,New South Wales,5.0,518.0,jordan.jokester@fake-buyers.example,Jordan Jokester,https://www.linkedin.com/company/definitely-not-real-hornsby-dream-home-depot-31,,https://www.instagram.com/fake_buyers_31,https://www.facebook.com/fake.buyers.31,10 389 357 397,Fixed Unit Trust,Owner-occupier,100,buyers agent first home Sydney,
Definitely Not Real Dee Why Homes & Hogwash #32,+61 515 992 393,https://totally-fake-buyers-32.example,7 Hogwash Highway,Dee Why,New South Wales,4.8,1392.0,alex.alias@fake-buyers.example,Alex Alias,https://www.linkedin.com/company/definitely-not-real-dee-why-homes-hogwash-32,,https://www.instagram.com/fake_buyers_32,https://www.facebook.com/fake.buyers.32,54 606 940 379,Australian Private Company,Owner-occupier,100,buyers agent first home Sydney,
Banana Republic Kangaroo Point Homes & Hogwash #33,+61 442 472 770,https://totally-fake-buyers-33.example,7 Hogwash Highway,Kangaroo Point,Queensland,5.0,53.0,taylor.testdata@fake-buyers.example,Taylor Testdata,,https://www.linkedin.com/in/taylor-testdata,,,44 936 412 724,Individual/Sole Trader,Investment BA,100,investment buyers agent Brisbane,
Definitely Not Real Bulimba Property Shenanigans #34,+61 680 568 868,https://totally-fake-buyers-34.example,7 Hogwash Highway,Bulimba,Queensland,4.9,776.0,casey.contrived@fake-buyers.example,Casey Contrived,,,https://www.instagram.com/fake_buyers_34,https://www.facebook.com/fake.buyers.34,21 430 544 367,Australian Private Company,Investment BA,100,investment buyers agent Brisbane,
Quantum Brisbane City Dream Home Depot #35,+61 824 123 447,https://totally-fake-buyers-35.example,404 Not Found Road,Brisbane City,Queensland,4.9,84.0,morgan.mock@fake-buyers.example,Morgan Mock,,,,,69 928 615 473,Australian Private Company,Investment BA,100,investment buyers agent Brisbane,
Imaginary Clayfield Property Shenanigans #36,+61 806 877 128,https://totally-fake-buyers-36.example,1 Pretend Parade,Clayfield,Queensland,5.0,88.0,quinn.quip@fake-buyers.example,Quinn Quip,https://www.linkedin.com/company/imaginary-clayfield-property-shenanigans-36,,https://www.instagram.com/fake_buyers_36,https://www.facebook.com/fake.buyers.36,57 755 658 264,Discretionary Trading Trust,Investment BA,100,investment buyers agent Brisbane,
Captain Obvious Hobart Homes & Hogwash #37,+61 779 820 331,https://totally-fake-buyers-37.example,88 Placeholder Place,Hobart,Tasmania,5.0,125.0,riley.rubbish@fake-buyers.example,Riley Rubbish,,,,https://www.facebook.com/fake.buyers.37,77 182 271 412,Discretionary Trading Trust,EXCLUDED,97,investment buyers agent Hobart,
Captain Obvious Toorak Suburb Safari Co #38,+61 499 858 605,https://totally-fake-buyers-38.example,1 Pretend Parade,Toorak,Victoria,5.0,52.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,,https://www.instagram.com/fake_buyers_38,https://www.facebook.com/fake.buyers.38,36 711 652 909,Individual/Sole Trader,Investment BA,100,investment buyers agent Melbourne,
Totally Fake Craigieburn Buyers Agency #39,+61 565 363 366,https://totally-fake-buyers-39.example,42 Demo Drive,Craigieburn,Victoria,5.0,365.0,riley.rubbish@fake-buyers.example,Riley Rubbish,,,,,84 629 397 628,Australian Private Company,Investment BA,100,investment buyers agent Melbourne,
Pretend Rivervale Buyers Agency #40,+61 519 440 302,https://totally-fake-buyers-40.example,42 Demo Drive,Rivervale,Western Australia,4.8,686.0,morgan.mock@fake-buyers.example,Morgan Mock,https://www.linkedin.com/company/pretend-rivervale-buyers-agency-40,,,https://www.facebook.com/fake.buyers.40,47 629 621 175,Australian Private Company,Investment BA,100,investment buyers agent Perth,
Pretend Perth Dream Home Depot #41,+61 511 173 300,https://totally-fake-buyers-41.example,404 Not Found Road,Perth,Western Australia,4.9,116.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,,,,91 919 639 122,Individual/Sole Trader,EXCLUDED,97,investment buyers agent Perth,
Totally Fake Nedlands House Hunters Hoax #42,+61 588 399 906,https://totally-fake-buyers-42.example,3 Test Terrace,Nedlands,Western Australia,5.0,1322.0,jordan.jokester@fake-buyers.example,Jordan Jokester,,,,,49 694 905 866,Australian Private Company,EXCLUDED,97,investment buyers agent Perth,
Definitely Not Real Maylands Brick & Giggle #43,+61 475 188 252,https://totally-fake-buyers-43.example,99 Sample Square,Maylands,Western Australia,5.0,154.0,taylor.testdata@fake-buyers.example,Taylor Testdata,,,https://www.instagram.com/fake_buyers_43,https://www.facebook.com/fake.buyers.43,59 727 348 337,Australian Private Company,EXCLUDED,99,investment buyers agent Perth,
Banana Republic Macquarie Park Homes & Hogwash #44,+61 750 496 822,https://totally-fake-buyers-44.example,1 Pretend Parade,Macquarie Park,New South Wales,4.9,393.0,quinn.quip@fake-buyers.example,Quinn Quip,,https://www.linkedin.com/in/quinn-quip,https://www.instagram.com/fake_buyers_44,https://www.facebook.com/fake.buyers.44,90 566 363 690,Fixed Unit Trust,Investment BA,100,investment buyers agent Sydney,
Totally Fake Manly Mortgage Mayhem #45,+61 572 749 574,https://totally-fake-buyers-45.example,99 Sample Square,Manly,New South Wales,5.0,280.0,quinn.quip@fake-buyers.example,Quinn Quip,https://www.linkedin.com/company/totally-fake-manly-mortgage-mayhem-45,,https://www.instagram.com/fake_buyers_45,https://www.facebook.com/fake.buyers.45,24 859 832 754,Individual/Sole Trader,Investment BA,100,investment buyers agent Sydney,
Totally Fake Forestville Property Shenanigans #46,+61 815 724 505,https://totally-fake-buyers-46.example,1 Pretend Parade,Forestville,New South Wales,5.0,80.0,alex.alias@fake-buyers.example,Alex Alias,,,,,,,Investment BA,100,investment buyers agent Sydney,
Quantum Norwest Off-Market Emporium #47,+61 645 342 108,https://totally-fake-buyers-47.example,123 Fake Street,Norwest,New South Wales,4.9,71.0,morgan.mock@fake-buyers.example,Morgan Mock,,https://www.linkedin.com/in/morgan-mock,https://www.instagram.com/fake_buyers_47,https://www.facebook.com/fake.buyers.47,71 213 183 632,Individual/Sole Trader,Investment BA,100,investment buyers agent Sydney,
Captain Obvious Castle Hill Homes & Hogwash #48,+61 425 117 196,https://totally-fake-buyers-48.example,404 Not Found Road,Castle Hill,New South Wales,4.8,155.0,pat.faux@fake-buyers.example,Pat Faux,,,https://www.instagram.com/fake_buyers_48,https://www.facebook.com/fake.buyers.48,70 403 197 992,Individual/Sole Trader,Investment BA,100,investment buyers agent Sydney,
Absolutely Made Up Marion Off-Market Emporium #49,+61 852 209 297,https://totally-fake-buyers-49.example,88 Placeholder Place,Marion,South Australia,5.0,122.0,casey.contrived@fake-buyers.example,Casey Contrived,,,https://www.instagram.com/fake_buyers_49,,76 200 210 422,Australian Private Company,Off-the-plan,100,off the plan buyers agent Adelaide,
Quantum South Brisbane Off-Market Emporium #50,+61 699 801 681,https://totally-fake-buyers-50.example,7 Hogwash Highway,South Brisbane,Queensland,4.8,218.0,quinn.quip@fake-buyers.example,Quinn Quip,https://www.linkedin.com/company/quantum-south-brisbane-off-market-emporium-50,,https://www.instagram.com/fake_buyers_50,https://www.facebook.com/fake.buyers.50,94 193 923 254,Fixed Unit Trust,Off-the-plan,100,off the plan buyers agent Brisbane,
Suspiciously Legit Orielton Buyers Agency #51,+61 782 466 939,https://totally-fake-buyers-51.example,3 Test Terrace,Orielton,Tasmania,4.9,112.0,jamie.jest@fake-buyers.example,Jamie Jest,,,https://www.instagram.com/fake_buyers_51,https://www.facebook.com/fake.buyers.51,28 833 905 445,Individual/Sole Trader,Off-the-plan,100,off the plan buyers agent Hobart,
Captain Obvious Property Shenanigans #52,+61 730 658 351,https://totally-fake-buyers-52.example,,,,4.9,134.0,sam.sample@fake-buyers.example,Sam Sample,,,https://www.instagram.com/fake_buyers_52,https://www.facebook.com/fake.buyers.52,29 123 849 220,Individual/Sole Trader,Off-the-plan,100,off the plan buyers agent Hobart,
Suspiciously Legit Hobart Homes & Hogwash #53,+61 802 217 917,https://totally-fake-buyers-53.example,404 Not Found Road,Hobart,Tasmania,4.9,52.0,riley.rubbish@fake-buyers.example,Riley Rubbish,,,,,74 783 824 199,Discretionary Trading Trust,Off-the-plan,100,off the plan buyers agent Hobart,
Pretend Mickleham Suburb Safari Co #54,+61 821 284 380,https://totally-fake-buyers-54.example,99 Sample Square,Mickleham,Victoria,5.0,545.0,casey.contrived@fake-buyers.example,Casey Contrived,,https://www.linkedin.com/in/casey-contrived,https://www.instagram.com/fake_buyers_54,https://www.facebook.com/fake.buyers.54,13 469 897 149,Australian Private Company,EXCLUDED,100,off the plan buyers agent Melbourne,
Absolutely Made Up Greensborough Property Shenanigans #55,+61 802 715 427,https://totally-fake-buyers-55.example,404 Not Found Road,Greensborough,Victoria,4.9,60.0,sam.sample@fake-buyers.example,Sam Sample,,,,,26 761 101 750,Australian Private Company,Off-the-plan,100,off the plan buyers agent Melbourne,
Definitely Not Real Doreen Off-Market Emporium #56,+61 552 397 132,https://totally-fake-buyers-56.example,42 Demo Drive,Doreen,Victoria,4.8,303.0,alex.alias@fake-buyers.example,Alex Alias,,,https://www.instagram.com/fake_buyers_56,https://www.facebook.com/fake.buyers.56,,,Off-the-plan,100,off the plan buyers agent Melbourne,
Certified Fictional Mortgage Mayhem #57,+61 428 627 953,https://totally-fake-buyers-57.example,,,,5.0,63.0,jamie.jest@fake-buyers.example,Jamie Jest,https://www.linkedin.com/company/certified-fictional-mortgage-mayhem-57,,https://www.instagram.com/fake_buyers_57,https://www.facebook.com/fake.buyers.57,19 514 339 898,Australian Private Company,Off-the-plan,100,off the plan buyers agent Melbourne,
Certified Fictional Highgate Buyers Agency #58,+61 797 381 715,https://totally-fake-buyers-58.example,3 Test Terrace,Highgate,Western Australia,4.8,107.0,alex.alias@fake-buyers.example,Alex Alias,https://www.linkedin.com/company/certified-fictional-highgate-buyers-agency-58,https://www.linkedin.com/in/alex-alias,https://www.instagram.com/fake_buyers_58,https://www.facebook.com/fake.buyers.58,75 418 676 370,Australian Private Company,Off-the-plan,100,off the plan buyers agent Perth,
Totally Fake Northbridge House Hunters Hoax #59,+61 707 718 996,https://totally-fake-buyers-59.example,123 Fake Street,Northbridge,Western Australia,5.0,182.0,quinn.quip@fake-buyers.example,Quinn Quip,https://www.linkedin.com/company/totally-fake-northbridge-house-hunters-hoax-59,,https://www.instagram.com/fake_buyers_59,https://www.facebook.com/fake.buyers.59,,,Off-the-plan,100,off the plan buyers agent Perth,
Totally Fake Subiaco Homes & Hogwash #60,+61 876 388 368,https://totally-fake-buyers-60.example,3 Test Terrace,Subiaco,Western Australia,4.8,86.0,riley.rubbish@fake-buyers.example,Riley Rubbish,https://www.linkedin.com/company/totally-fake-subiaco-homes-hogwash-60,,https://www.instagram.com/fake_buyers_60,https://www.facebook.com/fake.buyers.60,59 417 931 236,Australian Private Company,Off-the-plan,100,off the plan buyers agent Perth,
Pretend South Perth Advocates Anonymous #61,+61 441 397 663,https://totally-fake-buyers-61.example,3 Test Terrace,South Perth,Western Australia,4.8,656.0,pat.faux@fake-buyers.example,Pat Faux,,,https://www.instagram.com/fake_buyers_61,https://www.facebook.com/fake.buyers.61,97 744 383 323,Australian Private Company,Off-the-plan,100,off the plan buyers agent Perth,
Certified Fictional Subiaco Property Shenanigans #62,+61 712 970 668,https://totally-fake-buyers-62.example,42 Demo Drive,Subiaco,Western Australia,4.9,155.0,riley.rubbish@fake-buyers.example,Riley Rubbish,https://www.linkedin.com/company/certified-fictional-subiaco-property-shenanigans-62,,https://www.instagram.com/fake_buyers_62,https://www.facebook.com/fake.buyers.62,77 723 781 468,Australian Private Company,Off-the-plan,100,off the plan buyers agent Perth,
Quantum South Perth Buyers Agency #63,+61 480 968 829,https://totally-fake-buyers-63.example,404 Not Found Road,South Perth,Western Australia,4.8,199.0,taylor.testdata@fake-buyers.example,Taylor Testdata,https://www.linkedin.com/company/quantum-south-perth-buyers-agency-63,https://www.linkedin.com/in/taylor-testdata,https://www.instagram.com/fake_buyers_63,https://www.facebook.com/fake.buyers.63,95 130 771 456,Australian Private Company,Off-the-plan,100,off the plan buyers agent Perth,
Absolutely Made Up Paddington Homes & Hogwash #64,+61 856 829 264,https://totally-fake-buyers-64.example,99 Sample Square,Paddington,New South Wales,4.9,100.0,jordan.jokester@fake-buyers.example,Jordan Jokester,https://www.linkedin.com/company/absolutely-made-up-paddington-homes-hogwash-64,,https://www.instagram.com/fake_buyers_64,https://www.facebook.com/fake.buyers.64,22 248 238 836,Australian Private Company,Off-the-plan,100,off the plan buyers agent Sydney,
Banana Republic Thornleigh Suburb Safari Co #65,+61 718 162 334,https://totally-fake-buyers-65.example,1 Pretend Parade,Thornleigh,New South Wales,4.9,815.0,alex.alias@fake-buyers.example,Alex Alias,https://www.linkedin.com/company/banana-republic-thornleigh-suburb-safari-co-65,,https://www.instagram.com/fake_buyers_65,https://www.facebook.com/fake.buyers.65,41 630 169 371,Australian Private Company,Off-the-plan,100,off the plan buyers agent Sydney,
Pretend Pymble Mortgage Mayhem #66,+61 436 150 739,https://totally-fake-buyers-66.example,123 Fake Street,Pymble,New South Wales,4.8,196.0,pat.faux@fake-buyers.example,Pat Faux,https://www.linkedin.com/company/pretend-pymble-mortgage-mayhem-66,,https://www.instagram.com/fake_buyers_66,https://www.facebook.com/fake.buyers.66,,,Off-the-plan,100,off the plan buyers agent Sydney,
Totally Fake West Pennant Hills Brick & Giggle #67,+61 568 568 357,https://totally-fake-buyers-67.example,1 Pretend Parade,West Pennant Hills,New South Wales,4.9,228.0,quinn.quip@fake-buyers.example,Quinn Quip,https://www.linkedin.com/company/totally-fake-west-pennant-hills-brick-giggle-67,,https://www.instagram.com/fake_buyers_67,https://www.facebook.com/fake.buyers.67,74 804 539 480,Australian Private Company,Off-the-plan,100,off the plan buyers agent Sydney,
Pretend Castle Hill Mortgage Mayhem #68,+61 798 144 407,https://totally-fake-buyers-68.example,404 Not Found Road,Castle Hill,New South Wales,4.9,136.0,alex.alias@fake-buyers.example,Alex Alias,https://www.linkedin.com/company/pretend-castle-hill-mortgage-mayhem-68,,https://www.instagram.com/fake_buyers_68,https://www.facebook.com/fake.buyers.68,65 180 758 847,Australian Private Company,Off-the-plan,100,off the plan buyers agent Sydney,
Definitely Not Real Penrith Off-Market Emporium #69,+61 850 493 459,https://totally-fake-buyers-69.example,3 Test Terrace,Penrith,New South Wales,5.0,51.0,morgan.mock@fake-buyers.example,Morgan Mock,,,,https://www.facebook.com/fake.buyers.69,11 891 536 110,Fixed Unit Trust,Investment BA,100,property acquisition Sydney,
Totally Fake Port Adelaide Buyers Agency #70,+61 451 137 202,https://totally-fake-buyers-70.example,404 Not Found Road,Port Adelaide,South Australia,5.0,115.0,taylor.testdata@fake-buyers.example,Taylor Testdata,,,,,64 211 572 757,Australian Private Company,Property advisor,100,property advisor Adelaide,
Captain Obvious Aldinga Homes & Hogwash #71,+61 598 518 984,https://totally-fake-buyers-71.example,1 Pretend Parade,Aldinga,South Australia,4.8,50.0,pat.faux@fake-buyers.example,Pat Faux,,,https://www.instagram.com/fake_buyers_71,https://www.facebook.com/fake.buyers.71,,,EXCLUDED,97,property advisor Adelaide,
Absolutely Made Up Adelaide Mortgage Mayhem #72,+61 624 742 201,https://totally-fake-buyers-72.example,7 Hogwash Highway,Adelaide,South Australia,4.8,78.0,pat.faux@fake-buyers.example,Pat Faux,https://www.linkedin.com/company/absolutely-made-up-adelaide-mortgage-mayhem-72,,https://www.instagram.com/fake_buyers_72,https://www.facebook.com/fake.buyers.72,25 887 619 228,Australian Private Company,Property advisor,100,property advisor Adelaide,
Quantum Burpengary East Brick & Giggle #73,+61 837 669 771,https://totally-fake-buyers-73.example,3 Test Terrace,Burpengary East,Queensland,5.0,132.0,casey.contrived@fake-buyers.example,Casey Contrived,,https://www.linkedin.com/in/casey-contrived,https://www.instagram.com/fake_buyers_73,https://www.facebook.com/fake.buyers.73,63 846 161 216,Discretionary Trading Trust,EXCLUDED,100,property advisor Brisbane,
